"30","Justin Jefferson","WR","MIN","11.9","19.3","14.1","14.5","9.2","BYE","14.4","11.5","14.6","4.8","8.1","2.7","9.9","25.2","13.3","26.4","9.2","5.4","12.6","214.5"
"31","James Conner","RB","ARI","16.3","18.4","2.5","17.3","12","2.6","15.2","12.9","11.9","17.3","BYE","4.9","8.1","18.2","25.8","22.6","0.8","-","12.9","206.8"
"32","Joe Mixon","RB","HOU","23.8","5","-","-","-","25.2","24.4","19.4","16.6","15","33.3","4.5","17.9","BYE","5.6","7.1","3.9","2.8","14.6","204.5"
"33","Bryce Young","QB","CAR","11.6","3","-","-","3.1","-","-0.2","15.6","10.7","12","BYE","16.5","23.6","13.5","14","27.1","16.9","36.4","14.6","204"
"34","Amon-Ra St. Brown","WR","DET","1.3","11.9","13.5","14.8","BYE","9.7","17.2","6.7","11.6","12","27.7","6.2","7.3","5.3","23.3","13","12","7.7","11.8","201.2"
"35","Chase Brown","RB","CIN","2.3","3.1","6.9","21.2","13.4","12.4","5.3","9.4","21.7","13.4","14.3","BYE","16","18.3","23.3","10.9","9.1","-","12.6","201"
"36","Chuba Hubbard","RB","CAR","1.4","7.6","22.9","18.1","13.5","10.3","11.2","7.1","19.2","20.9","BYE","14","2.3","16.7","4.9","28.5","-","-","13.2","198.6"
"37","Bucky Irving","RB","TB","7.6","2.2","8.4","11.5","3.6","16.5","13.7","8.4","3.4","14.7","BYE","21.2","24.5","1.8","11.3","15.2","19","14.4","11.6","197.4"
"38","Alvin Kamara","RB","NO","17","42","12.7","17.9","6.6","12.4","2.4","12.2","21.5","10.9","8.9","BYE","11.9","7.9","13","-","-","-","14.1","197.3"
"39","Brian Thomas Jr.","WR","JAC","10.7","9.4","4.8","15.9","18.2","2.7","17.1","12","4.2","1.2","8.6","BYE","14.7","8.6","22.5","19.2","16.9","10.3","11.6","197"
"40","Kirk Cousins","QB","ATL","8.2","17.5","12.1","8.5","35.4","12.5","9.2","28.6","17.8","11.2","5.9","BYE","6.1","11.8","7.5","-","-","-","13.7","192.3"
"41","Brandon Aubrey","K","DAL","21","17","11","11","10","12","BYE","6","9","7","6","12","9","9","16","21","1","14","11.3","192"
"42","Chris Boswell","K","PIT","26","9","8","8","6","17","14","14","BYE","4","24","8","16","11","8","7","4","7","11.2","191"
"43","Aaron Jones Sr.","RB","MIN","16.9","4.8","20.8","13.9","5.3","BYE","17.6","9.5","8.2","10.1","4.3","16.9","6.8","14.4","16.6","9.3","7.7","7.5","11.2","190.6"
"44","Tua Tagovailoa","QB","MIA","18.6","8.5","-","-","-","BYE","-","14.7","17.5","9.2","23.5","28.5","25.2","23.5","6.8","12.5","-","-","17.1","188.6"
"45","Drake Maye","QB","NE","-","-","2.1","-","0","21.5","20.8","11.5","17.7","12.8","19","14.5","20.4","BYE","18.5","18.4","9.9","0","13.4","187.1"
"46","Terry McLaurin","WR","WAS","1.7","2.2","16","11.2","9.4","17.3","9.8","12.5","13.9","11.3","1","16.2","19.3","BYE","19.3","12","0.5","12.2","10.9","185.8"
"47","David Montgomery","RB","DET","15.3","13","18.2","14","BYE","20","5","13.9","9.6","11.6","21.5","13.3","12.4","14.4","3.5","-","-","-","13.3","185.7"
"48","Breece Hall","RB","NYJ","13.3","17.4","14.3","1.8","3.7","16.9","20.1","8.9","8.5","8.3","24.1","BYE","6","-","11.1","9","5.3","15.2","11.5","183.9"
"49","Drake London","WR","ATL","1.5","11.4","12.7","6.4","21.4","13.4","12.3","3.4","8.7","9.7","6.1","BYE","8.3","7","11.3","5.9","10.6","30.7","10.6","180.8"
"50","Denver Broncos","DST","DEN","10","6","15","11","16","3","20","7","-3","5","13","10","20","BYE","20","3","8","15","10.5","179"
"50","Cameron Dicker","K","LAC","12","10","4","6","BYE","12","21","9","3","9","12","16","12","5","6","10","17","15","10.5","179"
"52","Russell Wilson","QB","NYG","-","-","-","-","-","-","24.9","13.8","-","19.1","7.3","13.8","27.9","16","8.4","16.4","18.7","11.5","16.2","177.8"
"53","Anthony Richardson Sr.","QB","IND","27.1","12.9","7.1","5.2","-","-","8.8","12.5","-","-","28.1","13","23.2","BYE","15.4","21.2","-","-","15.9","174.4"
"54","D'Andre Swift","RB","CHI","5","4.2","4.2","22.5","18","17.9","BYE","18.9","8.2","6.5","14.4","6.5","7.4","4","8.9","5.3","8.1","12.5","10.1","172.5"
"55","Ka'imi Fairbairn","K","HOU","17","20","1","6","16","12","12","11","9","13","10","11","13","BYE","9","7","0","5","10.1","172"
"56","Najee Harris","RB","LAC","7.9","7.4","8.6","7.3","7.7","18.2","16.2","13.1","-","11.3","9.3","5.4","18.9","11.3","2.1","4.2","8.1","11.6","9.9","168.6"
"57","Mike Evans","WR","TB","18.1","4.2","1.7","15.4","18.2","3.4","8.5","-","-","-","BYE","6.8","17.8","6.9","27.9","6.9","21.7","8.9","11.9","166.4"
"58","Jason Sanders","K","MIA","10","4","3","9","12","BYE","4","11","9","15","11","12","3","16","8","21","10","8","9.8","166"
"59","Malik Nabers","WR","NYG","6.6","18.7","20.2","11.1","-","-","4.1","7.1","5.9","4.8","BYE","6.4","7.3","9.9","14.2","6.8","29.1","12.4","11","164.6"
"60","Chase McLaughlin","K","TB","15","10","1","11","16","9","5","8","7","8","BYE","6","16","4","18","7","12","11","9.6","164"
"61","CeeDee Lamb","WR","DAL","8.6","15","4.7","16.6","6.4","9.1","BYE","26.6","8.2","2.4","10.6","6.8","3.9","15.4","17.6","10.5","-","-","10.8","162.4"
