"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"58","Jaxon Smith-Njigba","WR","SEA","10.4","10.3","15.6","9","","","","","","","","","","","","","","","11.3","45.3"
"59","Chase McLaughlin","K","TB","6","2","21","16","","","","","","","","","","","","","","","11.3","45"
"60","Davante Adams","WR","LAR","5.1","16.6","11.6","11.6","","","","","","","","","","","","","","","11.2","44.9"
"61","Courtland Sutton","WR","DEN","12.1","0.6","17.8","14.1","","","","","","","","","","","","","","","11.2","44.6"
"62","DK Metcalf","WR","PIT","8.3","8","9.2","18.6","","","","","","","","","","","","","","","11","44.1"
"63","Minnesota Vikings","DST","MIN","5","5","30","4","","","","","","","","","","","","","","","11","44"
"63","Harrison Butker","K","KC","11","7","13","13","","","","","","","","","","","","","","","11","44"
"65","Chuba Hubbard","RB","CAR","14.9","13.7","7.6","6.9","","","","","","","","","","","","","","","10.8","43.1"
"66","Deebo Samuel Sr.","WR","WAS","15.6","10.4","2.9","14.1","","","","","","","","","","","","","","","10.8","43"
"66","Joey Slye","K","TEN","15","17","11","0","","","","","","","","","","","","","","","10.8","43"
"68","Jordan Mason","RB","MIN","7.5","3.8","23.6","7.2","","","","","","","","","","","","","","","10.5","42.1"
"69","Romeo Doubs","WR","GB","6.8","8.8","2.5","23.8","","","","","","","","","","","","","","","10.5","41.9"
"70","Cam Skattebo","RB","NYG","0.9","11.9","18.1","11","","","","","","","","","","","","","","","10.5","41.9"
"71","Michael Pittman Jr.","WR","IND","14","4","13.3","10.1","","","","","","","","","","","","","","","10.4","41.4"
"72","Keenan Allen","WR","LAC","12.8","12.1","12.5","3.7","","","","","","","","","","","","","","","10.3","41.1"
"73","Tyler Loop","K","BAL","13","12","7","9","","","","","","","","","","","","","","","10.3","41"
"73","Matt Gay","K","WAS","3","6","14","18","","","","","","","","","","","","","","","10.3","41"
"73","Matt Prater","K","BUF","12","14","8","7","","","","","","","","","","","","","","","10.3","41"
"76","Quinshon Judkins","RB","CLE","-","7.1","15.5","17.5","","","","","","","","","","","","","","","13.4","40.1"
"77","Kenneth Gainwell","RB","PIT","2.3","3.6","8.6","25.4","","","","","","","","","","","","","","","10","39.9"
"78","Jayden Daniels","QB","WAS","20.1","19.7","-","-","","","","","","","","","","","","","","","19.9","39.8"
"79","Malik Nabers","WR","NYG","7.1","28.7","1.3","2","","","","","","","","","","","","","","","9.8","39.1"
"80","Jake Bates","K","DET","7","10","9","13","","","","","","","","","","","","","","","9.8","39"
"80","Justin Jefferson","WR","MIN","10.8","8.1","7.5","12.6","","","","","","","","","","","","","","","9.8","39"
"80","Cam Little","K","JAC","15","10","5","9","","","","","","","","","","","","","","","9.8","39"
"80","Will Reichard","K","MIN","9","8","14","8","","","","","","","","","","","","","","","9.8","39"
"84","Carson Wentz","QB","MIN","-","-","15.3","23.2","","","","","","","","","","","","","","","19.3","38.5"
"85","Brock Purdy","QB","SF","18.8","-","-","19.7","","","","","","","","","","","","","","","19.2","38.4"
"85","Hunter Henry","TE","NE","6.6","0.9","21","9.9","","","","","","","","","","","","","","","9.6","38.4"
"87","Chad Ryland","K","ARI","11","10","7","10","","","","","","","","","","","","","","","9.5","38"
